name,disciplines,plus_options,plans,min_plan,district,street,link,metadata,latitude,longitude,description
BAZ bouldergym,"['Bouldering', 'Fitness']",False,"['S', 'M', 'L', 'XL']",S,Zaandam,Oostzijde 381-C,https://urbansportsclub.com//en/venues/baz-bouldergym,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'BAZ bouldergym', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Zaandam, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '1508 EP', 'streetAddress': 'Oostzijde 381-C'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.4605159', 'longitude': '4.8139159'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_ygkutouzjswlkbaeuspn_1727682511708866.png?generation=1727682511803264&amp;alt=media'}",52.4605159,4.8139159,
Spartan Health,['Bootcamp'],False,"['S', 'M', 'L', 'XL']",S,Zaandam,Kaarsenmakersstraat,https://urbansportsclub.com//en/venues/spartan-health,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'Spartan Health', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Zaandam, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '1541 HL', 'streetAddress': 'Kaarsenmakersstraat'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.4649476', 'longitude': '4.8072719'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_avbljumosb2kr1cfkity_1728051838439651.png?generation=1728051838541648&amp;alt=media'}",52.4649476,4.8072719,
spartan bootcamp,"['Bootcamp', 'Boxing Sports', 'Fitness', 'Functional Training']",False,"['S', 'M', 'L', 'XL']",S,Zaandam,Kaarsenmakersstraat,https://urbansportsclub.com//en/venues/spartan-bootcamp,"{'@context': 'http://schema.org', '@type': 'LocalBusiness', 'name': 'spartan bootcamp', 'description': '', 'address': {'@type': 'PostalAddress', 'addressLocality': 'Zaandam, Netherlands', 'addressCountry': 'Netherlands', 'postalCode': '1541 HL', 'streetAddress': 'Kaarsenmakersstraat'}, 'telephone': '', 'geo': {'@type': 'GeoCoordinates', 'latitude': '52.4649476', 'longitude': '4.8072719'}, 'priceRange': '-', 'image': 'https://storage.googleapis.com/download/storage/v1/b/usc-pro-uscweb-live-media/o/de-live%2Foriginal_640x360_w2rtzmdxajfqg9wr1pet_1728051580748026.png?generation=1728051580842921&amp;alt=media'}",52.4649476,4.8072719,
